state,capital,subsidy,road tax,petrol,diesel,EV
Andhra Pradesh,Amaravati,0,1,111.7,99.32,54000
Arunachal Pradesh,Itanagar,5000,0,95.39,84.57,20
Assam,Dispur,10000,1,97.78,89.81,64766
Bihar,Patna,10000,1,108.3,95.02,83335
Chhattisgarh,Raipur,5000,0,102.46,95.44,20966
Goa,Panaji,8000,1,97.11,90.09,3870
Gujarat,Gandhinagar,10000,0.5,96.89,92.66,45272
Haryana,Chandigarh,0,0,97.52,90.14,37035
Himachal Pradesh,Shimla,5000,0,96.68,85.93,1175
Jharkhand,Ranchi,5000,0,100.68,95.47,16811
Karnataka,Bengaluru,0,1,102.5,88.39,120532
Kerala,Thiruvananthapuram,0,0.5,108.39,97.28,30775
Madhya Pradesh,Bhopal,0,0.99,109.65,94.86,47000
Maharashtra,Mumbai,5000,1,106.42,93.62,116646
Manipur,Imphal,5000,0,101.13,87.75,586
Meghalaya,Shillong,4000,1,96.77,85.28,49
Mizoram,Aizawl,0,0,96.74,83.08,21
Nagaland,Kohima,5000,0,98.28,86.65,58
Odisha,Bhubaneswar,0,1,104.55,96.26,23371
Punjab,Chandigarh,0,1,98.23,88.99,14804
Rajasthan,Jaipur,0,0,109.5,94.64,81338
Sikkim,Gangtok,0,0,102.85,89.9,21
Tamil Nadu,Chennai,0,1,93.1,95.63,82051
Telangana,Hyderabad,0,1,109.66,97.82,46937
Tripura,Agartala,5000,0,99.22,88.18,9262
Uttar Pradesh,Lucknow,0,0.75,97.02,90.22,337180
Uttarakhand,Dehradun,0,0,95.28,90.53,31008
West Bengal,kolkata,10000,1,106.39,92.76,48767
Andaman and Nicobar Islands,Port Blair,0,0,84.1,79.74,162
Chandigarh,Chandigarh,5000,1,96.2,84.26,2812
Dadra and Nagar Haveli and Daman and Diu,Daman,5000,0,94.43,89.86,277
Delhi,Delhi,10000,1,96.72,89.62,156393
Jammu and Kashmir,Srinagar,0,0,97.5,83.35,2941
Ladakh,Leh,0,0,104.2,89.21,26
Lakshadweep,Kavaratti,0,0,107.73,102.75,30
Puducherry,Puducherry,5000,1,96.16,86.45,2149
