state,status,AQI-US,PM2.5,PM10,Temp,Humid,EV
Andhra Pradesh,GOOD,39,10,31,32,67,54000
Arunachal Pradesh,MODERATE,64,19,28,29,78,20
Assam,MODERATE,74,14,83,28,89,64766
Bihar,MODERATE,84,25,45,62,87,83335
Chandigarh,MODERATE,64,18,35,29,75,2812
Chhattisgarh,GOOD,35,9,28,31,64,20966
Dadra And Nagar Haveli,MODERATE,76,24,40,26,84,150
Daman And Diu,MODERATE,66,19,36,26,86,127
Delhi,MODERATE,62,18,47,32,65,156393
Goa,GOOD,34,8,20,25,82,3870
Gujarat,MODERATE,74,23,45,27,77,45272
Haryana,MODERATE,81,25,49,30,83,37035
Himachal Pradesh,GOOD,27,7,14,29,82,1175
Jammu And Kashmir,GOOD,20,5,6,13,81,2941
Jharkhand,GOOD,44,8,46,28,55,16811
Karnataka,GOOD,29,7,23,25,76,120532
Kerala,MODERATE,73,23,48,28,83,30775
Madhya Pradesh,MODERATE,51,13,35,26,86,47000
Maharashtra,GOOD,45,12,37,27,77,116646
Manipur,MODERATE,76,10,107,26,93,586
Meghalaya,POOR,108,23,584,28,94,49
Mizoram,GOOD,24,3,26,28,93,21
Nagaland,MODERATE,74,21,58,24,93,58
Odisha,MODERATE,61,17,27,30,71,23371
Puducherry,MODERATE,55,14,50,31,78,2149
Punjab,MODERATE,75,24,46,28,81,14804
Rajasthan,MODERATE,85,28,66,28,83,81338
Sikkim,MODERATE,96,34,39,25,76,21
Tamil Nadu,MODERATE,55,15,38,30,76,82051
Telangana,MODERATE,64,18,41,29,64,46937
Tripura,MODERATE,93,32,59,28,90,9262
Uttar Pradesh,MODERATE,64,19,39,30,79,337180
Uttarakhand,GOOD,38,10,19,29,81,31008
West Bengal,MODERATE,65,19,39,29,95,48767
Lakshadweep,MODERATE,62,20,41,31,70,30
Ladakh,GOOD,4,2,4,4,67,26
Andaman and Nicobar,GOOD,49,12,20,27,83,162
